Accession,Submitters,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_055374,"Amaro,F., Ze-Ze,L., Alves,M.J., Borstler,J., Clos,J., Lorenzen,S., Becker,S.C., Schmidt-Chanasit,J., Cadar,D., Boerstler,J., Becker,S.",2021-06-01T00:00:00Z,,Alcube phlebovirus,ssRNA(+/-),6405,Portugal,,Phlebotomus perniciosus,,2007
NC_055375,"Strakova,P., Dufkova,L., Sirmarova,J., Salat,J., Bartonicka,T., Klempa,B., Pfaff,F., Hoper,D., Hoffmann,B., Ulrich,R.G., Ruzek,D.",2021-06-01T00:00:00Z,,Brno loanvirus,ssRNA(-),1269,Czech Republic,,Nyctalus noctula,liver,2012
NC_055376,"Strakova,P., Dufkova,L., Sirmarova,J., Salat,J., Bartonicka,T., Klempa,B., Pfaff,F., Hoper,D., Hoffmann,B., Ulrich,R.G., Ruzek,D.",2021-06-01T00:00:00Z,,Brno loanvirus,ssRNA(-),6432,Czech Republic,,Nyctalus noctula,liver,2012
NC_055377,"Strakova,P., Dufkova,L., Sirmarova,J., Salat,J., Bartonicka,T., Klempa,B., Pfaff,F., Hoper,D., Hoffmann,B., Ulrich,R.G., Ruzek,D.",2021-06-01T00:00:00Z,,Brno loanvirus,ssRNA(-),3408,Czech Republic,,Nyctalus noctula,liver,2012
NC_055378,"Alkan,C., Vaziri,V., Bichaud,L., De Lamballerie,X., Charrel,R.N.",2021-06-01T00:00:00Z,,Dashli phlebovirus,ssRNA(+/-),1802,Iran,,Diptera,,2011-07-06
NC_055379,"Alkan,C., Vaziri,V., Bichaud,L., De Lamballerie,X., Charrel,R.N.",2021-06-01T00:00:00Z,,Dashli phlebovirus,ssRNA(+/-),4413,Iran,,Diptera,,2011-07-06
NC_055380,"Alkan,C., Vaziri,V., Bichaud,L., De Lamballerie,X., Charrel,R.N.",2021-06-01T00:00:00Z,,Dashli phlebovirus,ssRNA(+/-),6444,Iran,,Diptera,,2011-07-06
NC_055381,"Bichaud,L., Dachraoui,K., Alwassouf,S., Alkan,C., Mensi,M., Piorkowski,G., Sakhria,S., Seston,M., Fares,W., de Lamballerie,X., Zhioua,E., Charrel,R.N., Charrel,R.",2021-06-01T00:00:00Z,,Medjerda phlebovirus,ssRNA(+/-),1758,Tunisia,,Phlebotomus,,2010-09-15
NC_055382,"Bichaud,L., Dachraoui,K., Alwassouf,S., Alkan,C., Mensi,M., Piorkowski,G., Sakhria,S., Seston,M., Fares,W., de Lamballerie,X., Zhioua,E., Charrel,R.N., Charrel,R.",2021-06-01T00:00:00Z,,Medjerda phlebovirus,ssRNA(+/-),4216,Tunisia,,Phlebotomus,,2010-09-15
NC_055383,"Bichaud,L., Dachraoui,K., Alwassouf,S., Alkan,C., Mensi,M., Piorkowski,G., Sakhria,S., Seston,M., Fares,W., de Lamballerie,X., Zhioua,E., Charrel,R.N., Charrel,R.",2021-06-01T00:00:00Z,,Medjerda phlebovirus,ssRNA(+/-),6403,Tunisia,,Phlebotomus,,2010-09-15
NC_055384,"Palacios,G., Savji,N., Shah,A., Lipkin,W.I.",2021-06-01T00:00:00Z,,Tehran phlebovirus,ssRNA(+/-),4201,Iran,,Phlebotomus perfiliewi,,1976
NC_055385,"Palacios,G., Savji,N., Shah,A., Lipkin,W.I.",2021-06-01T00:00:00Z,,Tehran phlebovirus,ssRNA(+/-),6403,Iran,,Phlebotomus perfiliewi,,1976
NC_055386,"Palacios,G., Savji,N., Shah,A., Lipkin,W.I.",2021-06-01T00:00:00Z,,Tehran phlebovirus,ssRNA(+/-),1362,Iran,,Phlebotomus perfiliewi,,1976
NC_055387,"Palacios,G., Wiley,M.R., Travassos da Rosa,A.P., Guzman,H., Quiroz,E., Savji,N., Carrera,J.P., Bussetti,A.V., Ladner,J.T., Lipkin,W.I., Tesh,R.B., Wiley,M., Travassos da Rosa,A.P.A., Carrera,J.-P., Ladner,J., Test,R.B.",2021-06-01T00:00:00Z,,Buenaventura phlebovirus,ssRNA(+/-),1786,Colombia,,Diptera,,1964
NC_055388,"Palacios,G., Wiley,M.R., Travassos da Rosa,A.P., Guzman,H., Quiroz,E., Savji,N., Carrera,J.P., Bussetti,A.V., Ladner,J.T., Lipkin,W.I., Tesh,R.B., Wiley,M., Travassos da Rosa,A.P.A., Carrera,J.-P., Ladner,J., Test,R.B.",2021-06-01T00:00:00Z,,Buenaventura phlebovirus,ssRNA(+/-),4439,Colombia,,Diptera,,1964
NC_055389,"Palacios,G., Wiley,M.R., Travassos da Rosa,A.P., Guzman,H., Quiroz,E., Savji,N., Carrera,J.P., Bussetti,A.V., Ladner,J.T., Lipkin,W.I., Tesh,R.B., Wiley,M., Travassos da Rosa,A.P.A., Carrera,J.-P., Ladner,J., Test,R.B.",2021-06-01T00:00:00Z,,Buenaventura phlebovirus,ssRNA(+/-),6449,Colombia,,Diptera,,1964
NC_055390,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.",2021-06-01T00:00:00Z,982-11,Apple rubodvirus 1,RNA,7219,,,Malus,plant leaf,2014-03-12
NC_055391,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.",2021-06-01T00:00:00Z,982-11,Apple rubodvirus 1,RNA,1613,,,Malus,plant leaf,2014-04-12
NC_055392,"Rott,M.E., Kesanakurti,P., Boyes,I., Bewarth,C., Jelkman,W.",2021-06-01T00:00:00Z,982-11,Apple rubodvirus 1,RNA,1303,,,Malus,plant leaf,2014-04-12
NC_055393,"Scarpassa,V.M., Debat,H.J., Alencar,R.B., Saraiva,J.F., Calvo,E., Arca,B., Ribeiro,J.M., Ribeiro,J.M.C.",2021-06-01T00:00:00Z,AMA,Anopheles orthophasmavirus,ssRNA(-),2069,Brazil,,Anopheles triannulatus,,2015-07-01
NC_055394,"Scarpassa,V.M., Debat,H.J., Alencar,R.B., Saraiva,J.F., Calvo,E., Arca,B., Ribeiro,J.M., Ribeiro,J.M.C.",2021-06-01T00:00:00Z,AMA,Anopheles orthophasmavirus,ssRNA(-),6494,Brazil,,Anopheles triannulatus,,2015-07-01
NC_055395,"Scarpassa,V.M., Debat,H.J., Alencar,R.B., Saraiva,J.F., Calvo,E., Arca,B., Ribeiro,J.M., Ribeiro,J.M.C.",2021-06-01T00:00:00Z,AMA,Anopheles orthophasmavirus,ssRNA(-),2246,Brazil,,Anopheles triannulatus,,2015-07-01
NC_055396,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,La Gloria phlebovirus,ssRNA(+/-),6490,Panama,,Psychodopygus panamensis,,2014
NC_055397,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,La Gloria phlebovirus,ssRNA(+/-),4255,Panama,,Psychodopygus panamensis,,2014
NC_055398,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,La Gloria phlebovirus,ssRNA(+/-),1736,Panama,,Psychodopygus panamensis,,2014
NC_055399,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,Mona Grita phlebovirus,ssRNA(+/-),6371,Panama,,Nyssomyia trapidoi,,2014
NC_055400,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,Mona Grita phlebovirus,ssRNA(+/-),4160,Panama,,Nyssomyia trapidoi,,2014
NC_055401,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,Mona Grita phlebovirus,ssRNA(+/-),1725,Panama,,Nyssomyia trapidoi,,2014
NC_055402,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,Tres Almendras phlebovirus,ssRNA(+/-),6354,Panama,,Psychodopygus panamensis,,2013
NC_055403,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,Tres Almendras phlebovirus,ssRNA(+/-),1732,Panama,,Psychodopygus panamensis,,2013
NC_055404,"Marklewitz,M., Dutari,L.C., Paraskevopoulou,S., Page,R.A., Loaiza,J.R., Junglen,S.",2021-06-01T00:00:00Z,,Tres Almendras phlebovirus,ssRNA(+/-),4174,Panama,,Psychodopygus panamensis,,2013
NC_055405,"Tchouassi,D.P., Marklewitz,M., Chepkorir,E., Zirkel,F., Agha,S.B., Tigoi,C.C., Koskei,E., Drosten,C., Borgemeister,C., Torto,B., Junglen,S., Sang,R.",2021-06-01T00:00:00Z,,Ntepes phlebovirus,ssRNA(+/-),1701,Kenya,,Sergentomyia,,2014
NC_055406,"Tchouassi,D.P., Marklewitz,M., Chepkorir,E., Zirkel,F., Agha,S.B., Tigoi,C.C., Koskei,E., Drosten,C., Borgemeister,C., Torto,B., Junglen,S., Sang,R.",2021-06-01T00:00:00Z,,Ntepes phlebovirus,ssRNA(+/-),4454,Kenya,,Sergentomyia,,2014
NC_055407,"Tchouassi,D.P., Marklewitz,M., Chepkorir,E., Zirkel,F., Agha,S.B., Tigoi,C.C., Koskei,E., Drosten,C., Borgemeister,C., Torto,B., Junglen,S., Sang,R.",2021-06-01T00:00:00Z,,Ntepes phlebovirus,ssRNA(+/-),6436,Kenya,,Sergentomyia,,2014
NC_055408,"Hughes,H.R., Russell,B.J., Lambert,A.J.",2021-06-01T00:00:00Z,VP-488A,Caimito pacuvirus,ssRNA(-),893,Panama: El Aguacate,,Nyssomyia ylephiletor,,1971-01-21
NC_055409,"Hughes,H.R., Russell,B.J., Lambert,A.J.",2021-06-01T00:00:00Z,VP-488A,Caimito pacuvirus,ssRNA(-),6863,Panama: El Aguacate,,Nyssomyia ylephiletor,,1971-01-21
NC_055410,"Hughes,H.R., Russell,B.J., Lambert,A.J.",2021-06-01T00:00:00Z,VP-488A,Caimito pacuvirus,ssRNA(-),4550,Panama: El Aguacate,,Nyssomyia ylephiletor,,1971-01-21
NC_055411,"Chen,T.C., Li,J.T., Fan,Y.S., Yeh,Y.C., Yeh,S.D., Kormelink,R., Chen,T.-C., Fan,Y.-H., Yeh,Y.-C., Li,J.-T.",2021-06-01T00:00:00Z,TYRV-t,Tomato yellow ring orthotospovirus,ssRNA(+/-),4786,Iran,,Solanum lycopersicum,,2002
NC_055412,"Hassani-Mehraban,A., Saaijer,J., Peters,D., Goldbach,R., Kormelink,R., Mehraban,A.H.",2021-06-01T00:00:00Z,,Tomato yellow ring orthotospovirus,ssRNA(+/-),3061,Iran,,Solanum lycopersicum,,
NC_055413,"Chen,T.C., Li,J.T., Fan,Y.S., Yeh,Y.C., Yeh,S.D., Kormelink,R., Chen,T.-C., Fan,Y.-H., Yeh,Y.-C., Li,J.-T.",2021-06-01T00:00:00Z,TYRV-t,Tomato yellow ring orthotospovirus,ssRNA(+/-),8877,Iran,,Solanum lycopersicum,,2002
NC_055414,"Charrel,R.N., Moureau,G., Temmam,S., Izri,A., Marty,P., Parola,P., da Rosa,A.T., Tesh,R.B., de Lamballerie,X., Delaunay,P., Toga,I., Dumon,H., De Lamballerie,X.N.",2021-06-01T00:00:00Z,,Massilia phlebovirus,ssRNA(+/-),6402,France: Marseilles,,Phlebotomus perniciosus,,2005-07
NC_055415,"Charrel,R.N., Moureau,G., Temmam,S., Izri,A., Marty,P., Parola,P., da Rosa,A.T., Tesh,R.B., de Lamballerie,X., Delaunay,P., Toga,I., Dumon,H., De Lamballerie,X.N.",2021-06-01T00:00:00Z,,Massilia phlebovirus,ssRNA(+/-),1864,France: Marseilles,,Phlebotomus perniciosus,,2005-07
NC_055416,"Charrel,R.N., Moureau,G., Temmam,S., Izri,A., Marty,P., Parola,P., da Rosa,A.T., Tesh,R.B., de Lamballerie,X.",2021-06-01T00:00:00Z,,Massilia phlebovirus,ssRNA(+/-),4219,France: Marseilles,,Phlebotomus perniciosus,,2005-07
NC_055417,"Palacios,G., Tesh,R.B., Savji,N., Travassos da Rosa,A.P., Guzman,H., Bussetti,A.V., Desai,A., Ladner,J., Sanchez-Seco,M., Lipkin,W.I., Travassos da Rosa,A., Valeria Bussetti,A., Tesh,R.",2021-06-01T00:00:00Z,91045-AG,Karimabad phlebovirus,ssRNA(+/-),1685,Iran,,Phlebotomus papatasi,,1975
NC_055418,"Palacios,G., Tesh,R.B., Savji,N., Travassos da Rosa,A.P., Guzman,H., Bussetti,A.V., Desai,A., Ladner,J., Sanchez-Seco,M., Lipkin,W.I., Travassos da Rosa,A., Valeria Bussetti,A., Tesh,R.",2021-06-01T00:00:00Z,91045-AG,Karimabad phlebovirus,ssRNA(+/-),4556,Iran,,Phlebotomus papatasi,,1975
NC_055419,"Palacios,G., Tesh,R.B., Savji,N., Travassos da Rosa,A.P., Guzman,H., Bussetti,A.V., Desai,A., Ladner,J., Sanchez-Seco,M., Lipkin,W.I., Travassos da Rosa,A., Valeria Bussetti,A., Tesh,R.",2021-06-01T00:00:00Z,91045-AG,Karimabad phlebovirus,ssRNA(+/-),6441,Iran,,Phlebotomus papatasi,,1975
NC_055420,"Hughes,H.R., Russell,B.J., Lambert,A.J.",2021-06-01T00:00:00Z,BeAn24262,Icoaraci phlebovirus,ssRNA(+/-),6423,Brazil,,Rodentia,,1960-10
NC_055421,"Hughes,H.R., Russell,B.J., Lambert,A.J.",2021-06-01T00:00:00Z,BeAn24262,Icoaraci phlebovirus,ssRNA(+/-),4324,Brazil,,Rodentia,,1960-10
NC_055422,"Hughes,H.R., Russell,B.J., Lambert,A.J.",2021-06-01T00:00:00Z,BeAn24262,Icoaraci phlebovirus,ssRNA(+/-),1978,Brazil,,Rodentia,,1960-10
NC_055423,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Lihan uukuvirus,RNA,6517,China,,Rhipicephalus microplus,,2012
NC_055424,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Lihan uukuvirus,RNA,1762,China,,Rhipicephalus microplus,,2012
NC_055425,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Tacheng uukuvirus,RNA,6659,China,,Dermacentor marginatus,,2012
NC_055426,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Tacheng uukuvirus,RNA,2185,China,,Dermacentor marginatus,,2012
NC_055427,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Yongjia uukuvirus,RNA,6527,China,,Haemaphysalis hystricis,,2012
NC_055428,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Yongjia uukuvirus,RNA,1830,China,,Haemaphysalis hystricis,,2012
NC_055429,"Chou,W.-C., Fan,Y.-S., Chen,T.-C.",2021-06-01T00:00:00Z,PD2,Groundnut chlorotic fan spot orthotospovirus,ssRNA(+/-),4857,Taiwan,,Arachis,,1992
NC_055430,"Chou,W.-C., Chen,T.-C.",2021-06-01T00:00:00Z,PD2,Groundnut chlorotic fan spot orthotospovirus,ssRNA(+/-),8796,Taiwan,,Arachis,,1992
NC_055431,"Tokarz,R., Lipkin,W.I.",2021-06-01T00:00:00Z,A1,Scapularis ixovirus,RNA,1404,USA,,Ixodes scapularis,,2014
NC_055432,"Tokarz,R., Lipkin,W.I.",2021-06-01T00:00:00Z,A1,Scapularis ixovirus,RNA,6704,USA,,Ixodes scapularis,,2014
NC_055433,"Pettersson,J.H., Shi,M., Bohlin,J., Eldholm,V., Brynildsrud,O.B., Paulsen,K.M., Andreassen,A., Holmes,E.C., Pettersson,J.H.-O.",2021-06-01T00:00:00Z,NOR/A2/Bronnoya/2014,Norway ixovirus,RNA,2496,Norway,,Ixodes ricinus,,2014-09-15
NC_055434,"Pettersson,J.H., Shi,M., Bohlin,J., Eldholm,V., Brynildsrud,O.B., Paulsen,K.M., Andreassen,A., Holmes,E.C., Pettersson,J.H.-O.",2021-06-01T00:00:00Z,NOR/A2/Bronnoya/2014,Norway ixovirus,RNA,6714,Norway,,Ixodes ricinus,,2014-09-15
NC_055435,"Velasco,L., Arjona-Girona,I., Cretazzo,E., Lopez-Herrera,C., Arjona-Girona,I.M., Ariza,M.T., Lopez-Herrera,C.J.",2021-06-01T00:00:00Z,E115-5,Entoleuca entovirus,RNA,7256,Spain,,Entoleuca sp.,,
NC_055436,"Velasco,L., Arjona-Girona,I., Cretazzo,E., Lopez-Herrera,C.",2021-06-01T00:00:00Z,EnPV1-115-5,Entoleuca entovirus,RNA,2816,Spain,,Entoleuca sp.,,2010-03-11
NC_055437,"de Carvalho,M.S., de Lara Pinto,A.Z., Pinheiro,A., Rodrigues,J.S.V., Melo,F.L., da Silva,L.A., Ribeiro,B.M., Dezengrini-Slhessarenko,R., Carvalho,M.S., De Lara Pinto,A.Z., Slhessarenko,R.D.",2021-06-01T00:00:00Z,,Viola phlebovirus,ssRNA(+/-),6461,"Brazil: North Pantanal, MT",,Lutzomyia,,2015-07-06
NC_055438,"Carvalho,M.S., De Lara Pinto,A.Z., Pinheiro,A., Rodrigues,J.S.V., Melo,F.L., Ribeiro,B.M., Slhessarenko,R.D.",2021-06-01T00:00:00Z,,Viola phlebovirus,ssRNA(+/-),4403,"Brazil: North Pantanal, MT",,Lutzomyia,,2015-07-06
NC_055439,,2021-06-01T00:00:00Z,,Xapuri mammarenavirus,ssRNA(+/-),3405,Brazil: Acre state,,Neacomys musseri,,2016
NC_055440,,2021-06-01T00:00:00Z,,Xapuri mammarenavirus,ssRNA(+/-),7049,Brazil: Acre state,,Neacomys musseri,,2016
NC_055441,"Hepojoki,J., Hepojoki,S., Smura,T., Szirovicza,L., Dervas,E., Prahauser,B., Nufer,L., Schraner,E.M., Vapalahti,O., Kipar,A., Hetzel,U.",2021-06-01T00:00:00Z,F18-5,Muikkunen hartmanivirus,ssRNA(+/-),5913,Switzerland,,Boa constrictor,,2018
NC_055442,"Hepojoki,J., Hepojoki,S., Smura,T., Szirovicza,L., Dervas,E., Prahauser,B., Nufer,L., Schraner,E.M., Vapalahti,O., Kipar,A., Hetzel,U.",2021-06-01T00:00:00Z,F18-5_1,Muikkunen hartmanivirus,ssRNA(+/-),3396,Switzerland,,Boa constrictor,,2018
NC_055443,"Hepojoki,J., Hepojoki,S., Smura,T., Szirovicza,L., Dervas,E., Prahauser,B., Nufer,L., Schraner,E.M., Vapalahti,O., Kipar,A., Hetzel,U.",2021-06-01T00:00:00Z,F17-0012_1,Schoolhouse hartmanivirus,ssRNA(+/-),3322,Switzerland,,Boa constrictor,,2017
NC_055444,"Hepojoki,J., Hepojoki,S., Smura,T., Szirovicza,L., Dervas,E., Prahauser,B., Nufer,L., Schraner,E.M., Vapalahti,O., Kipar,A., Hetzel,U.",2021-06-01T00:00:00Z,F17-0012_2,Schoolhouse hartmanivirus,ssRNA(+/-),5945,Switzerland,,Boa constrictor,,2017
NC_055445,"Hepojoki,J., Hepojoki,S., Smura,T., Szirovicza,L., Dervas,E., Prahauser,B., Nufer,L., Schraner,E.M., Vapalahti,O., Kipar,A., Hetzel,U.",2021-06-01T00:00:00Z,S14-369-79_1,Zurich hartmanivirus,ssRNA(+/-),3433,Switzerland,,Boa constrictor,,2014
NC_055446,"Hepojoki,J., Hepojoki,S., Smura,T., Szirovicza,L., Dervas,E., Prahauser,B., Nufer,L., Schraner,E.M., Vapalahti,O., Kipar,A., Hetzel,U.",2021-06-01T00:00:00Z,S14-369-79_2,Zurich hartmanivirus,ssRNA(+/-),5938,Switzerland,,Boa constrictor,,2014
NC_055447,"Read,D.A., Featherston,J., Rees,D.J.G., Thompson,G.D., Roberts,R., Flett,B.C., Mashingaidze,K., Pietersen,G., Kiula,B., Kullaya,A., Mbega,E.",2021-06-01T00:00:00Z,16_0060,Maize associated pteridovirus,ssRNA(+),2713,Tanzania,,Zea mays,,2015
NC_055448,"Read,D.A., Featherston,J., Rees,D.J.G., Thompson,G.D., Roberts,R., Flett,B.C., Mashingaidze,K., Pietersen,G., Kiula,B., Kullaya,A., Mbega,E.",2021-06-01T00:00:00Z,16_0060,Maize associated pteridovirus,ssRNA(+),5806,Tanzania,,Zea mays,,2015
NC_055449,"Lin,Y.-H., Fujita,M., Chiba,S., Hyodo,K., Andika,I.B., Suzuki,N., Kondo,H.",2021-06-01T00:00:00Z,,Lentinula lentinuvirus,RNA,2754,Japan:Hyogo,,Lentinula edodes,,2013
NC_055450,"Lin,Y.-H., Fujita,M., Chiba,S., Hyodo,K., Andika,I.B., Suzuki,N., Kondo,H.",2021-06-01T00:00:00Z,,Lentinula lentinuvirus,RNA,7082,Japan:Hyogo,,Lentinula edodes,,2013
NC_055451,"Chen,J., Toh,X., Ong,J., Wang,Y., Teo,X., Lee,B., Wong,P., Khor,D., Chong,S., Chee,D., Wee,A., Ng,M., Tan,B., Huangfu,T.",2021-06-01T00:00:00Z,A110617,Lates calcarifer birnavirus,dsRNA,2731,Singapore,,Lates calcarifer,,2017-06
NC_055452,"Chen,J., Toh,X., Ong,J., Wang,Y., Teo,X., Lee,B., Wong,P., Khor,D., Chong,S., Chee,D., Wee,A., Ng,M., Tan,B., Huangfu,T.",2021-06-01T00:00:00Z,A110617,Lates calcarifer birnavirus,dsRNA,3527,Singapore,,Lates calcarifer,,2017-06
NC_055453,"Nguyen,T.T., Suryamohan,K., Kuriakose,B., Janakiraman,V., Reichelt,M., Chaudhuri,S., Guillory,J., Divakaran,N., Rabins,P.E., Goel,R., Deka,B., Sarkar,S., Ekka,P., Tsai,Y.C., Vargas,D., Santhosh,S., Mohan,S., Chin,C.S., Korlach,J., Thomas,G., Babu,A., Seshagiri,S.",2021-06-01T00:00:00Z,,Hyposidra talaca NPV,dsDNA,139089,India,,Hyposidra talaca,,2013-01-01
NC_055454,"Maurino,F., Dumon,A.D., Llauger,G., Alemandri,V., de Haro,L.A., Mattio,M.F., Del Vas,M., Laguna,I.G., Gimenez Pecci,M.P., Maurino,M.F., del Vas,M.",2021-06-01T00:00:00Z,,Maize yellow striate cytorhabdovirus,ssRNA(-),12654,Argentina,,Zea mays,,
NC_055455,"Escasa,S.R., Mowery,J.D., Bauchan,G.R., Harrison,R.L., Cory,J.S.",2021-06-01T00:00:00Z,,Spodoptera exempta nucleopolyhedrovirus,dsDNA,129528,,,Spodoptera exempta,,2005-01-01
NC_055456,"Walker,P.J., Firth,C., Widen,S.G., Blasdell,K.R., Guzman,H., Wood,T.G., Paradkar,P.N., Holmes,E.C., Tesh,R.B., Vasilakis,N., Walker,P., Widen,S., Blasdell,K., Wood,T., Paradkar,P., Holmes,E., Tesh,R.",2021-06-01T00:00:00Z,,Kwatta sunrhavirus,ssRNA(-),11211,Suriname,,Culex,,1964
NC_055457,"Walker,P.J., Firth,C., Widen,S.G., Blasdell,K.R., Guzman,H., Wood,T.G., Paradkar,P.N., Holmes,E.C., Tesh,R.B., Vasilakis,N., Walker,P., Widen,S., Blasdell,K., Wood,T., Paradkar,P., Holmes,E., Tesh,R.",2021-06-01T00:00:00Z,,Minto sawgrhavirus,ssRNA(-),11156,USA,,Haemaphysalis leporispalustris,,1972
NC_055458,"Bodewes,R., Rubio Garcia,A., Wiersma,L.C., Getu,S., Beukers,M., Schapendonk,C.M., van Run,P.R., van de Bildt,M.W., Poen,M.J., Osinga,N., Sanchez Contreras,G.J., Kuiken,T., Smits,S.L., Osterhaus,A.D.",2021-06-01T00:00:00Z,,Pinniped erythroparvovirus 1,ssDNA(+/-),4913,Netherlands,,Phoca vitulina,brain,2012-10-26
NC_055460,"McAllister,J., Gauci,P.J., Mitchell,I.R., Boyle,D.B., Bulach,D.M., Weir,R.P., Melville,L.F., Davis,S.S., Gubala,A.J.",2021-06-01T00:00:00Z,CS75,Harrison sunrhavirus,ssRNA(-),11284,Australia,,Culex annulirostris,,1975
NC_055461,"Walker,P.J., Firth,C., Widen,S.G., Blasdell,K.R., Guzman,H., Wood,T.G., Paradkar,P.N., Holmes,E.C., Tesh,R.B., Vasilakis,N., Walker,P., Widen,S., Blasdell,K., Wood,T., Paradkar,P., Holmes,E., Tesh,R.",2021-06-01T00:00:00Z,,Sawgrass sawgrhavirus,ssRNA(-),11216,USA,,Dermacentor variabilis,,1964
NC_055462,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Hobbs,H.A., Ajayi,O.O., Bradley,C.",2021-06-01T00:00:00Z,RsEnd-Illinois1,Rhizoctonia solani alphaendornavirus 2,dsRNA,15850,USA,,Rhizoctonia solani,,
NC_055463,"Vaca-Vaca,J.C., Jara-Tejada,F., Lopez-Lopez,K.",2021-06-01T00:00:00Z,Florida/Valle/2014,Croton golden mosaic virus,ssDNA(+/-),2551,Colombia,,Croton hirtus,,2014-10-12
NC_055464,"Vaca-Vaca,J.C., Jara-Tejada,F., Lopez-Lopez,K.",2021-06-01T00:00:00Z,Florida/Valle/2014,Croton golden mosaic virus,ssDNA(+/-),2613,Colombia,,Croton hirtus,,2014-10-12
NC_055465,"Yang,S., Liu,Z., Wang,Y., Li,W., Fu,X., Lin,Y., Shen,Q., Wang,X., Wang,H., Zhang,W.",2021-06-01T00:00:00Z,9,Rodent chaphamaparvovirus 2,ssDNA(+/-),4222,China,,Rattus,feces,2014
NC_055466,"Menzel,W., Richert-Poeggeler,K., Winter,S., Knierim,D.",2021-06-01T00:00:00Z,PV-1182,Physostegia chlorotic mottle alphanucleorhabdovirus,ssRNA(-),13320,Austria,,Physostegia,,2014-07-30
NC_055467,"Zhu,Z., Yin,F., Liu,X., Hou,D., Wang,J., Zhang,L., Arif,B., Wang,H., Deng,F., Hu,Z.",2021-06-01T00:00:00Z,Whiov,Cyclophragma undans nucleopolyhedrovirus,dsDNA,142900,China,,,,1983
NC_055468,"Deakin,G., Dobbs,E., Jones,I.M., Grogan,H.M., Burton,K.S.",2021-06-01T00:00:00Z,AbEV1-2990,Agaricus bisporus alphaendornavirus 1,dsRNA,12730,United Kingdom,,Agaricus bisporus,,2002-08
